owner,balance
Cs85spvAEvaidbx6zTrF9XgmQetgEa7tAnVtAm8ReYTA,75000000
GhJ1RWsJhR7wuTbRoHP6DmeksPbkMVFVFrQ74EYtQ16F,420000000
BKzow7AL39gzs4BYGJH1Szz5M4noyki3ytZGBqHTTma4,75000000
EWvU8zD3UWeSfjtavfjAEftvXASZmq6phLs43vqeKMjx,420000000
313zyWbStQ3tm3AQda4ReosJ95o4BHHyD1bWTnJkfQMA,18386360744
AWWiJ4yMnGFpY1p3fCrLozPC4kSoVnGXvPBUzBAAPu2Z,1310820066
Dgh4x1bUEwo2AayPBRBgDUabFi6xZs797AhGmncrvYRB,75000000
9bR3GGFmRRvkhkr5g78264M5hPnyETP64TTCdCzd7GBs,4000000000
CDuB1epHNiE4ss1mR8UZUooSgQSXKs1sX5qtXb5VFMXZ,58
EEd5XfSsuWXPgpFCQk5zu1B95inV1JgMiwjDvmTczzh1,75000000
8XVH5Ub8beBztcuAi13PvJA9Znuk5nw7WBZMb5yPKu4W,6586284712
DFsu6hdYU172AkC5RfMpK8q5Qq53x3mD7VNPTquygcqP,1098776583
B9oPMF4b35U2PtrmQU2jgUuJHjEqCD4Hgz4P63w193Jj,75000000
HtCiABJCSY2ZUhkuXwFACveuZqD324ueRqVWeo3w2SLt,1221215971
BAFfTZHzsbo6wXGi6ibjeWwdenVKcLKaubYGE5JmdHw6,75000000
3bN5ub2CtPdRFJeRiqKzoAyR7YyhT8Vbq68K8JDvhfsf,62449150751
uW37BrzQSVR4vKxJ7Ext9ZqDBXwLuaSGkpP4sws5eua,721346265
Fiz5A7AoCFaHUtxaUZ4tkr3qQoALfQAKzJDiu8HDBphH,75000000
4uywKA8RsBC5HowJMYNo7tqKpDSRsEymdr7s17Vds8sH,75000000
EmXEDt16hqgZWDVyxB5z92LEDPd7LLizTgeYY5LEd9ZX,2000000000
3kWyyF4P2uSPoBJ2VsZJDmwHH7QaGRGRSpLpYqhrJNuj,16314249541
AjDioq6MLo2Bfe8mRnSzpTK9Cfruc2LdEfMDrBUa9sj1,2000000000
BA5ccW2PQmHQWMpiq2DqovtoSNRSc6zwVz8basFLKVmj,1000000000
HUmTFyrX8V4Y55reYBSduL7cz7JqRcqgyccZyEuVPRfD,75000000
3R7rQXULqAcufzVgKHja25hdhBXMe1KXuhFSmYwPRFm6,75000000
26t7qrvYHaZMMa2kc59arLJfXJNdcWpctFP1YLUg7iw1,1987445558
FmNc1JBT6ehYFzEjVJheY4srHVRo6PCgtsR1v4BduHvf,115505970844
6wLM3arQ3yK41P8zh55hrbRnaUwfKmFd8EqcT7RVaN5n,75000000
2HfJUr6YCLnxcS6BZYtoXKBGsRwcWpmsku7oDktM6oNT,370314208
DTBTUNTeaEECp1XmKjjS8Bcq9ZCnDQs4NYLymRdfjSLr,207006128
4JMhuukk6wKhoQrHqvrBQm7HZFiJ8Cx3BkHrXE7hthaH,75000000
AWgr9yM3FbUXXEbvsMcx3ANH8gqJzHpDDw2uUyMZmQi9,1000000
sAqWf4Lcc2kC46x8KFUQZ9D597FC76JqcrP3SEFsZsX,75000000
Ev5HRudDh73mr7a9hmig1X6qSCfaA7MyWxvfKsoUXVsk,75000000
7t7TkvbHuvtZztVpPoUiBrqNHxPLuv7PvkR8rE8vF5Pc,75000000
DGVbfiYerqF6JvjXYKfnGpJDi4auKrPhjkU61WS1r3kM,716148988254
BcZcGPZGaVRpSNn1UX148z8DxxuegYh96MedTx1YoKR7,420000000
DuhbAsKNYZJvzD6nued7yppPPaHL2LtTNcV3iCUYk9wq,2362103755
D74T5eTxo56askEWvVuNXF1Ye3bisy1NXQWH6vpJG3ft,27561000000
9a2nnjCpn3UboNS344Wj1KWAkFjacugjk2Z2c3fKHSU4,1000000
64sDmB4V6QCVL1YoBN6rpQwMvic736nBkZcgBp3tbtCh,75000000
DFjqRjTdej9eRz1WEiCWAaNDuvwZLMmwi1ZzL7rDo4MM,30484122709
6fzvN2zMt1SpJNvKkZPMHBoqavoNvwpH98ChfogXUF4K,10000000
2prE6f7PfmXB4cKxJ484LettdVvFeRBm934uuc374AKm,75000000
58RHwsEhn7Q8TCLB79DskN5xqrCafb1wP3mvcUinwscn,386468873
F8jxVp1P1Sn9rCBhMqyBXLJuHsq6JqYVKniRLKkXQC2r,40092103364
8DykUeGhrgsr2oWxhuo7Mm1koRAT9a2GgoVcNVHBXvLy,75000000
Hu6vmrj6JtyaNiTV72hL5kJ8ErXkzWBd1cpiwVn2Spyo,75000000
H191UHz55VQKRGri2Bv1kTHyfUFh56WT4b83b7A8z74N,420000000
6zvKBeZFoZFCr2vKzpLbMj6TWG1HVUcFY1rLMFGBZx6d,89000000000
Cp6yivsCZakix3GZRELJsvYfVBLTdaSxxmbXy9hSXMJR,75000000
5MoTrnva4K8SnpusNb5LHQWeFo94L53jrUpwa1pvfFf,420000000
C3c6YJ69et3eukE1C6RLuR1gZegweTETTa3v5rri4Wzv,75000000
FFbjq1KBsAui8EVu3QiiKVnhsyzGTT7EfwQRyjTF1aoA,75000000
9fQZyZmZVdf5k2B7yiUPTbVmXvq8mV1pXaFzogUe9Vsv,75000000
7EAMYQZba8NrocDYY46xVq5FUZd23xkVFQEhbXea6aCg,75000000
HEJWGGwiv8cv9pmwrcLVkDTn7DaNxeQYzmRRrpzRfwZU,256137687
6vf2uJud95k31i6MmkxBFRkkCiKV8vbtnNMah4kZkZbo,75000000
Ek3fCTNxwVS4QmWZPHvK2ZA1hdDnMu1bKH12khhLYiuE,1212441426
9YY2pexQtQRwKBzpm9ATbAdQW8ugMDrX6bges24yLM3o,75000000
C4sNMx6MSS2n9nhuUZ9M5KLvgss9WZT7YVkLkPttRDCj,75000000
AuQtQmejRCSoBTBKozk9GPSZEbAaDrVQrJnTFfoLsNBW,400681234
6uXDRTgBEZv5cvabVUSjF3KqfiMHs5TCykyz8J3Sy6X8,420000000
3epmAgzu8Gg5Tp1T7eDeyMVWKPKu8ASiPE1DCSrbaPh3,420000000
