owner,DGOD,SMB,FRG,RETARDIO
2ze23GLu6t6Sa3yYoA1wdVkk8NXjCUjyEuTMnHNW4aax,1,0,0,0
4hqqNuijQSE6VD4EkJ8pphsfaAXXngpqZaXMfKAnZ8Es,32,0,0,0
AL1fB5Esw2DiXozCPjZbsA4rutSnNrsNq87yGenfCGgg,2,0,0,0
B8ccon2Mv7dSxZMvy2KenhedC3Q51rhhk8BdZzxVa2qU,2,0,0,0
5bpwDYX43TP2fUytkfPJ6mkgAyYp7tTBzF56DgPB5Jon,1,0,0,0
HQB7oyWHNwfq1RsT9L2w2gBccNXw514BAwXXiaoZm4Nv,29,3,0,0
7T2r3ZJMtL2t2zRzpakweni6Cwi3JkfFemr8aDm9xDs1,1,0,0,0
MxRKDoaFN1hyVXvmFSASjbPzptrgbjzPiLddLy9KKR6,1,0,0,0
6JZCb8mMdYCujx5JAAZdDomgTa9P1gJMBdm9Mg6jfBgX,1,0,0,0
29FbhXNGPVtngY1JVVoPYKTKcZQmtvsuMzovBx5oUbEd,1,0,0,0
5cAeJ7UVMtJgxvv19szhwyDSBw3LLmvXrtxnHB49W7KX,1,0,0,0
78awr9RS8jm5YCe3yn6jLjQFKsM4c4NRRpo4vo8AeEgR,6,0,0,0
GWXg4n6Rjy1tY6BDTujAVAzVMQMarDVn3ENniSogCu9Y,1,0,0,0
8bE1HZC6Ny1jKwWBHWyaF1uFtsuNS9MmjYq8PBMFByNr,4,0,0,0
5sAa5J2h3QAGRSf3Ycc4y2zciD1HLVDJRUgyXxCeuPnK,1,0,0,0
Hk6PMx6XhH2TuNnSLzZqV1HDxQgsRbKmstyneiibbmFG,1,0,0,0
BW5EJyhLxfotKMKMTQpy2xomYvkxJyotHZ2RBGwEq1a8,10,0,0,0
6iac4tnMhyPyAQVZ6ZRmAJuKUovUCNerw65iGXMNo2tW,2,0,0,0
57Ked8cLFRk6at2YVFXA8gzBgFB9iF1PeZUFWw5hGpiV,1,0,0,0
AQms1rpTTfahX6Werebe7tH7oXiW1jBVBGEK7Rwdig9e,1,0,0,0
55iy3en74LPhTEwb2fFSFRn8thJLSwvZqD5XbAKxaQ9g,1,1,0,0
CkbYxMgH4TY1eXju43ZA3nv2toWGH9zwctGXYDjakVi6,1,0,0,0
Efx1LHEbVZQyqxxkibrZ11ehDP38nxPXCj38GoUn4i83,14,0,0,0
2ymQv4ztv8cHfkDuGYk9vFgxVtLeUPgNCgWSbVfPuSDf,17,0,0,0
CWdRjGAL13FfuAbYqcuoyTLrfWtkfHrS5dR6fWSSxWW5,1,0,0,0
Fkof1epwMtTSL9PRGSBYguQgRU3MPqupgjBwN794JkQ8,2,0,0,0
4UFFUyUqriFuN7xL7gWjpMcMEciAb9BerK4ZjYVigNAL,4,28,0,0
3dtRBNDdDB5g1zHoqDzdUKbZP1t4Xi3D3dvgqSpjnxTv,4,0,0,0
ED1uzx7NYsuDuRL4zkvGwVsyHLZbRUHcrZw7tEhfqC8W,2,0,0,0
GWCUN4Xn8jYLHWBtqU12bnVZoSDhLUGFfCdr7kjF68Mw,5,0,0,0
CvtuehKDFJBC65LA4kykXuYJL3sZ9e9rr5f3r6kEBCTb,1,0,0,0
9G8m4wocB1d59FLDP66XPY57HVJPpoSPm7hLoV7sxvbA,7,0,0,0
5YgYQAhPDxpAprBok2rXVJL69321ppdxtnKT8VtXW7aF,5,0,0,0
9MBHifSg6JiMKdLr8uvs8BnXkZjMCXiCgnT26APnGqqy,6,0,0,0
J7ARc5pY8FXfTweb9wCsbYKFcYForRpCfcWnCGxRicJA,12,0,0,0
FKgdDrut5J2Hu3uJhyndgBVP8zhs8QF8XDWkXTPomNgc,3,0,0,0
